Date,Open,High,Low,Close,Volume
2025-09-03,110752.34,110752.34,110752.34,110752.34,49852248517
2025-09-03,110685.15,110685.15,110685.15,110685.15,51533866869
2025-09-03,110911.59,110911.59,110911.59,110911.59,52393664887
2025-09-03,110770.90,110770.90,110770.90,110770.90,53064032732
2025-09-03,110752.30,110752.30,110752.30,110752.30,53691743130
2025-09-03,111395.04,111395.04,111395.04,111395.04,53616442867
2025-09-03,111229.75,111229.75,111229.75,111229.75,52260332541
2025-09-03,111215.74,111215.74,111215.74,111215.74,51731867646
2025-09-03,111190.18,111190.18,111190.18,111190.18,50235464643
2025-09-03,111293.33,111293.33,111293.33,111293.33,51411197688
2025-09-03,111258.44,111258.44,111258.44,111258.44,51045799449
2025-09-03,111449.59,111449.59,111449.59,111449.59,50339554441
2025-09-03,111073.76,111073.76,111073.76,111073.76,48905037738
2025-09-03,111022.13,111022.13,111022.13,111022.13,48453537308
2025-09-03,110690.28,110690.28,110690.28,110690.28,48170243575
2025-09-03,110715.85,110715.85,110715.85,110715.85,48537235720
2025-09-03,111063.31,111063.31,111063.31,111063.31,48387859950
2025-09-03,111048.53,111048.53,111048.53,111048.53,47409668672
2025-09-03,111220.79,111220.79,111220.79,111220.79,47524222578
2025-09-03,111429.01,111429.01,111429.01,111429.01,47463914141
2025-09-03,111471.89,111471.89,111471.89,111471.89,46824208670
2025-09-03,111114.71,111114.71,111114.71,111114.71,44650050071
2025-09-03,111613.01,111613.01,111613.01,111613.01,41678089154
2025-09-03,112237.33,112237.33,112237.33,112237.33,40965697601
2025-09-04,112291.24,112291.24,112291.24,112291.24,40024806512
2025-09-04,111862.09,111862.09,111862.09,111862.09,38927035056
2025-09-04,112380.37,112380.37,112380.37,112380.37,39107707422
2025-09-04,111946.44,111946.44,111946.44,111946.44,38513091871
2025-09-04,112156.22,112156.22,112156.22,112156.22,37899748907
2025-09-04,112230.16,112230.16,112230.16,112230.16,37368750339
2025-09-04,111983.71,111983.71,111983.71,111983.71,36983547604
2025-09-04,111953.70,111953.70,111953.70,111953.70,35815701333
2025-09-04,111751.65,111751.65,111751.65,111751.65,35744889958
2025-09-04,112072.80,112072.80,112072.80,112072.80,35507094876
2025-09-04,111853.88,111853.88,111853.88,111853.88,34821233329
2025-09-04,111492.65,111492.65,111492.65,111492.65,34296026730
2025-09-04,111177.66,111177.66,111177.66,111177.66,34554673806
2025-09-04,111127.47,111127.47,111127.47,111127.47,35112664111
2025-09-04,110686.92,110686.92,110686.92,110686.92,36342875554
2025-09-04,110409.55,110409.55,110409.55,110409.55,36128291652
2025-09-04,110505.55,110505.55,110505.55,110505.55,36276949141
2025-09-04,110705.26,110705.26,110705.26,110705.26,36395455722
